Worst months	Closing		Vol Adj * E^6
1: 6/1/2010	222		120
2: 8/1/2010	224		106
3: 5/1/2010	242		164
4: 7/1/2010	242		139
5: 6/1/2011	252		119
6: 9/1/2011	257		118
7: 9/1/2010	262		120
8: 2/1/2010	262		104
9: 4/1/2010	262		147
10: 5/1/2011	264		91


Best months	Closing		Vol Adj * E^6
1: 12/1/2019	1337		27
2: 11/1/2019	1305		25
3: 10/1/2019	1260		29
4: 9/1/2019	1219		27
5: 8/1/2018	1218		29
6: 7/1/2018	1217		32
7: 7/1/2019	1217		33
8: 9/1/2018	1193		29
9: 8/1/2019	1188		29
10: 4/1/2019	1188		28
